"sessiontitle","day","time","contenttrack","type","speakers","speakerpics","moderator-facilitator","venue"
"Accelerating Financial Inclusion with Emerging Technologies",""Day 1 - Friday, 6 Jan"","14:45","World View","Keynote","Muhammad Salman Anjum, CEO - InvoiceMate","","","Pheonix Auditorium @Convention"
"Why Ammipreneurs are the biggest disruptor of this decade?",""Day 1 - Friday, 6 Jan"","15:00","World View","Keynote","Ayesha Nasir, CEO / Founder - ScaryAmmi","Ayesha Nasir.png (https://dl.airtable.com/.attachments/200bb559a09720b319511790c40480a1/28f54063/AyeshaNasir.png)","","Pheonix Auditorium @Convention"
"Coke Studio as Pakistan's Biggest Cultural Export",""Day 1 - Friday, 6 Jan"","15:10","World View","Fireside Chat","","","","Pheonix Auditorium @Convention"
"Keynote: Saad Fazil ",""Day 1 - Friday, 6 Jan"","15:30","World View","Keynote","Saad Fazil, Consultant - Alt Ventures","Saad Fazil.png (https://dl.airtable.com/.attachments/b104e0a9c8804166744393ad71ce9649/3c2127b2/SaadFazil.png)","","Pheonix Auditorium @Convention"
"Keynote: Noman Azhar ",""Day 1 - Friday, 6 Jan"","15:45","World View","Keynote","Noman Azhar, CHIEF OFFICER  - JS BANK- ZINDIGI ","Noman Azhar.png (https://dl.airtable.com/.attachments/d42e08acf6a3131cce7a494fc83b156e/026587ee/NomanAzhar.png)","","Pheonix Auditorium @Convention"
"Future of Agriculture &amp; Food Insecurity in Pakistan ",""Day 1 - Friday, 6 Jan"","16:00","World View","Fireside Chat","Ahmad Mukhtar, Senior Economist  - Food and Agriculture Organization of the United Nations","Ahmad Mukhtar.png (https://dl.airtable.com/.attachments/934729eb1d5a7a2025dae9eb7de4e19b/798a43b0/AhmadMukhtar.png)","Asim Ghaffar, Cofounder - EasyFresh Technologies","Pheonix Auditorium @Convention"
"Keynote: Junaid Qurashi",""Day 1 - Friday, 6 Jan"","16:15","World View","Keynote","Junaid Qurashi, President - OPEN Silicon Valley","Junaid Qurashi.png (https://dl.airtable.com/.attachments/d975a3de03701862460259e825115c56/61843cfb/JunaidQurashi.png)","","Pheonix Auditorium @Convention"
"Creativity in the Era of Emerging Technologies",""Day 1 - Friday, 6 Jan"","16:30-17:50","Creative Economy ","","Shahnawaz Chughtai (Shani), CEO &amp; Chief Consultant - Propel Institute, Bee Tech Digital","Shahnawaz Chughtai (Shani).png (https://dl.airtable.com/.attachments/2fade0333a9392501106e247d1a47fbd/bdec2a4d/ShahnawazChughtaiShani.png)","","Pheonix Auditorium @Convention"
"Keynote",""Day 1 - Friday, 6 Jan"","17:50","Creative Economy ","Keynote","","Ans Shabbir.png (https://dl.airtable.com/.attachments/a4388d3d74ff42c9ac9a2140b39b92c1/86148a20/AnsShabbir.png)","","Pheonix Auditorium @Convention"
"Opening Keynote: How Games industry can Change Pakistan Economy",""Day 1 - Friday, 6 Jan"","18:00","Gaming","Keynote","Saad Hameed Khan, CEO - Game District","saad hameed khan.png (https://dl.airtable.com/.attachments/6a7896757b429546dfa7a6f9130b89d9/a561de91/saadhameedkhan.png)","","Pheonix Auditorium @Convention"
"Growth in Gaming Industry in the Last 3 Years",""Day 1 - Friday, 6 Jan"","18:10","Gaming","Panel Discussion","","","Navera Emran, Founder &amp; CEO  - GiGA Studios (Get into Games Anywhere)","Pheonix Auditorium @Convention"
"Can Pakistan be the next big force in gaming industry?",""Day 1 - Friday, 6 Jan"","18:45","Gaming","Panel Discussion","Saad Hameed Khan, CEO - Game District","saad hameed khan.png (https://dl.airtable.com/.attachments/6a7896757b429546dfa7a6f9130b89d9/a561de91/saadhameedkhan.png)","Masooma Zeeshan, Cofounder and CEO - GameTrain","Pheonix Auditorium @Convention"
"Closing Keynote by Curator",""Day 1 - Friday, 6 Jan"","19:20","Gaming","Keynote","Masooma Zeeshan, Cofounder and CEO - GameTrain","","","Pheonix Auditorium @Convention"
"Keynote by Mario Rizzo",""Day 1 - Friday, 6 Jan"","19:30","Gaming","Keynote","Mario Rizzo, Co-Founder and CEO - Artisan Studios, Inc.","Mario Rizzo.png (https://dl.airtable.com/.attachments/75049d90f9da5b942f2277a24caf4e28/e09d7f2c/MarioRizzo.png)","","Pheonix Auditorium @Convention"
"Day Ends",""Day 1 - Friday, 6 Jan"","20:00","Gaming","","","","","Pheonix Auditorium @Convention"
